ID,Order,Date,Tweet,Opinion,Emotion,May-be Emotion,Emotion class,Sentiment,Sarcasm
52069,110,13-Sep-17,Why don't you all do a story as to why so many utility trucks are parked and not doing a damn thing?,1,1,,A,Ng,
48836,114,08-Sep-17,@FOX13News That's how bad people are ! #hurricaneirma2017 pic.twitter.com/yGaiT9Nz8m,1,1,,A,Ng,
17304,115,14-Sep-17,@wsvn can you help us over in pembroke pines. We have no cable or internet. no wifi!!! Cobblestone complex,,1,,A,Ng,
24359,117,10-Sep-17,"I like animals, but really? There will be PEOPLE left homeless by Irma. Shouldn't we be prioritising them? Finding THEM homes?",1,1,,A,Ng,
40035,120,07-Sep-17,Really @CBS12 and @WPTV can't cut to #Hurricane WARNING but football and colbert are more important glad that @WPBF25News is covering,1,1,,A,Ng,1
23701,121,10-Sep-17,@foxnews @WSVN I fear that SVN is going to pre-empt the @NFL for hurricane coverage. We're prisoners in our homes. Please show FOOTBALL,,1,,A,Ng,
58394,122,11-Sep-17,That's funny shit. Been on the road in 33024 and haven't seen one truck! Must be going to the rich neighborhoods,,1,,A,Ng,1
58389,123,11-Sep-17,That's funny shit. Been on the road in 33024 and haven't seen one truck! Must be going to the rich neighborhoods,,1,,A,Ng,1
50519,124,13-Sep-17,You�??re telling me it�??s the government�??s fault that the owners of this private business left behind their customers in these conditions?? (5),,1,,A,Ng,
42855,125,07-Sep-17,The 7-11 at 3451 sheridan st in hollywood got a gas truck in at 1130 and the owner shut off the pumps!!!! @wsvn @WPLGLocal10 @CBSMiami,,1,,A,Ng,
17729,126,14-Sep-17,Called @WPLGlocal10 News Hot line for recommendation 4 power 4 quadriplegic medical equip. Hung up on me. Keeping u safe & informed-motto? pic.twitter.com/So0WG3EgCT,,1,,A,Ng,1
30870,127,10-Sep-17,Younsaid it WAS about evacuation- choose one racist defense and stick with it. You're dead wrong. Looting is as low as it gets. Shoot them.,1,1,,A,Ng,
19132,128,09-Sep-17,@WPTV I will never understand animal cruelty. I'd rather die with a dog in my arms than knowing I left them to it.,1,1,,A,Ng,
26396,129,10-Sep-17,I thought the Governor said yesterday to leave now!,1,1,,A,Ng ,
53102,130,20-Sep-17,"Hi @insideFPL it's me, @ShireenSandoval We were supposed have a date at 11:45 last night, but you left me alone in the dark. @wsvn",,1,,A,Ng,
10921,132,09-Sep-17,@mysuncoast for the love of god no one cares about trash pick up let us watch football one last time,1,1,,A,Ng,
8418,133,10-Sep-17,"It's pouring rain, in a major hurricane, and these ghetto rats are looting a Foot Locker. Classy. #DarwinAwards #HurricaneIrma",1,1,,A,Ng,1
9671,136,09-Sep-17,@wsvn How about the baseball game scheduled instead of the monotonous over and over same information.,1,1,,A,Ng,
29051,138,10-Sep-17,@CBS12 Cant u plz show ANYTHING SOUTH PBC THIS IS ALL WAY NORTH..Keep using battery see what's going on.. EVERY THING UP NORTH,,1,,A,Ng,
56793,141,06-Sep-17,@wsvn #HuracanIrma your station is the worst piece of crap I have ever seen all you do is scare tactics you guys have #noshamewhatsoever,1,1,,A,Ng,
40817,143,09-Sep-17,Animal control officers not allowed to rescue these abandoned pets when winds reach 35 mph? Come on! Then need army of unofficial rescuers!',,1,,A,Ng ,
19424,148,29-Sep-17,And @fdot shuts down express lanes for almost any reason during rush hour. They are frauds and charge an arm and a leg.,1,1,,A,Ng ,
47432,149,10-Sep-17,@wsvn LET ME WATCH THE GAME!!!,,1,,A,Ng,
56749,173,11-Sep-17,Why is it ALWAYS blacks that loot!? #characterflaw !,1,1,,A,Ng,
41111,174,09-Sep-17,"true news:MD acting #inhumane ! @rickscott @governor Bed bound people call 911 to be picked up, told ambulance will b sent out NEVER SHOWING",,1,,A,Ng,
16359,178,11-Sep-17,@WPLGLocal10 ask FPL why their PR person and CEO shut off their twitter. They weren't prepared & lying about repairs. pic.twitter.com/AZ7FHvww6c,1,1,,A,Ng,
46293,186,16-Sep-17,That's right. Aren't we important. Or are we at the bottom of your list to get our power back. We have waited long enough. HELP.,1,1,,A,Ng,
19428,187,14-Sep-17,Shameful. Stealing from our very own AND at a time like this? Public stoning is in order. ??\_(?�?)_/??,1,1,,A,Ng,
27259,192,10-Sep-17,"These ppl were poor before Irma, couldn't evacuate bc they have no $. So now they are making sure they won't be broke after. What's the prob",1,1,,A,Ng,
21032,193,19-Sep-17,I've headed that too from friends up north. Florida sucks! @bocachica70 @insideFPL @wsvn @FLGovScott @MayorGimenez @DukeEnergy,1,1,,A,Ng,
34404,196,09-Sep-17,Had generator on truck and turned it around. I begged 2 go pick it up 15 min away. Was told me 2x on the phone over 8 hours I'd get it-liars,,1,,A,Ng,
49944,200,08-Sep-17,There is a football game on Saturday night. I really need it to be aired. OK? @nbc6 @WPTV @NBCSN,1,1,,A,Ng,
54031,201,10-Sep-17,@CBS12 any football on alternative channels today!,,1,,A,Ng,
52239,202,08-Sep-17,People ARE leaving dogs/animals chained/tied to backyards...it is a FELONY..remind ppl...pls . http://www. wptv.com/news/region-c- palm-beach-county/palm-beach-county-animal-care-and-control-finding-dogs-left-chained-to-trees-and-parked-cars?utm_content=bufferafb7e&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer �??,1,1,,A,Ng,
13134,203,15-Sep-17,Guess what @SunSentinel @wsvn @WPLGLocal10 My power is restored but MY JOB IS ON THE LINE. Does @ComcastFL plan on handling lost wages?,,1,,A,Ng,
39303,206,09-Sep-17,Then please don't get another pet again. They r family and if u decide u don't want to care for them during a horrible storm them shame on u,1,1,Disgust,DG,Ng,
56740,207,10-Sep-17,Please tell me they have been rescued and will never be returned to the scumbag owners.,1,1,,A,Ng,
23698,209,10-Sep-17,#Irma @ShepNewsTeam @foxnews Did @WSVN hire these cub reporters from a temp agency for the weekend? What a bunch of jokers,1,1,,A,Ng,1
55392,210,09-Sep-17,Those should be identified by address and charged! #Animalcruelty Must be punished. PERIOD!,1,1,,A,Ng,
48852,212,09-Sep-17,Get off the air so we can watch football...or tell me which channel I can find it on while you're on the air http:// all.day .long.,1,1,,A,Ng,
30629,217,05-Sep-17,@LoleskyWX @CBS12 this not funny but you confuse Mexico to Puerto Rico map you didn't read the name map,1,1,,A,Ng,
17378,220,10-Sep-17,"Gosh, if only someone had mentioned that there was a likelihood of flooding. If only.",1,1,,A,Ng,1
41756,224,10-Sep-17,"FPL you make billions and you have been doing this for decades!! Come on, buy a better system!! You make the money!!",1,1,,A,Ng,
17885,225,10-Sep-17,who does this to their pet? A monster!,1,1,,A,Ng,
48047,226,10-Sep-17,Why does your station along with other local stations put your reporters in harms way by having them out in such conditions.,1,1,,A,Ng,
3094,227,10-Sep-17,Are we allowed to point out the ethnicity? Or is that bad? Maybe looting is a cultural thing!!,1,1,,A,Ng,
26012,228,11-Sep-17,"@wsvn instead of @SpiritAirlines rescheduling passengers, we are left to figure it out without assistance. How about additional flights?",,1,,A,Ng,
67561,229,08-Sep-17,"@news6wkmg @WESH @FoxNews told tonight at 7 can't get my critical supplies, asked to go pick up myself UPS said no and basically good luck!",,1,,A,Ng,
40813,234,10-Sep-17,@wsvn Fuck ya niggas lyin ass bitch made say anything for ratings we really don't know what the fuck goin on bitch ass niggas,1,1,,DG,Ng,
58014,235,09-Sep-17,Less than 12 hours before we're all supposed to be there and locked in. We had a week to prepare and now they change things too late to act,1,1,,A,Ng,
8093,240,10-Sep-17,"@news6wkmg put the Jags game on...seen enough of Irma already, lot of rain and lots of wind....Goodnight!!!",1,1,,A,Ng,
38231,244,19-Sep-17,Ive had 3 different deadlines 3 different ticket numbers and 3 text that my electric was restored and nothing @insideFPL is a joke,1,1,,A,Ng,
51100,247,08-Sep-17,@mysuncoast ur sign lang interpreter @press conf is horrendous- should have found someone qualified to deliver such important news!,1,1,,A,Ng,
54781,250,09-Sep-17,@wptv @comcast has shut you off and Irma isn�??t even here yet,,1,,A,Ng,
58531,251,08-Sep-17,@wsvn @FLGovScott open up all the lanes like they did in Texas like this so we could evacuate in time!! https:// twitter.com/seasolshades/s tatus/905984913425518592 �??,1,1,,A,Ng,
2967,252,10-Sep-17,"your governor won't allow the state of Florida to use the words climate change""""",1,1,,A,Ng,
20645,257,05-Sep-17,They're too busy driving around the entire state looming for water...,1,1,,A,Ng,
15902,258,04-Sep-17,@WPLGLocal10 you people should really be ashamed of yourself. You have no idea where this hurricane is going to be. It's move hundreds..1/2,1,1,,A,Ng,
23815,261,05-Sep-17,"you need to make the call. My children will NOT be going with a Cat 5 hurricane, but for safety's sake, cancel classes on Thurs and Fri.",1,1,,A,Ng,
49505,270,08-Sep-17,It's a bunch of bologna about those airline fares being $99 or $399 advertise what you want but there are NO seats out of Florida @WPTV https:// twitter.com/aronberg/statu s/905888768615383040 �??,1,1,,A,Ng,
55475,19,15-Sep-17,"Thx 4 correction! @OfficialFPL Day 6, 100?�+, 100's of houses in east @cityofboynton w/ no power-where are your trucks? @WPTV @pbpost @CBS12 https:// twitter.com/cityofboynton/ status/908750572563640321 �??",,1,,A,Ng ,
34418,20,12-Sep-17,"@FOX13News No power, downed wire. Why isn't FPL giving their customers in Bradenton any updated information? #IrmaHurricane2017",,1,,A,Ng ,
38856,36,05-Sep-17,Seriously? it's not hard to realize we have a cat 5 hurricane coming at us? school districts really aren't intelligent. irony.,1,1,,I,Ng,
30935,57,19-Sep-17,Was there something in the floodwaters from Irma. That's behavior is just so unacceptable.,1,1,,DG,Ng,
8342,73,15-Sep-17,"U should report on FPL lying abt power restore numbers.I guess they just look good for Tv. This is the 3rd time they cleared my ticket."" pic.twitter.com/12mcbF4b7a""",1,1,,A,Ng,1
41546,116,26-Sep-17,Storm past nearly a week ago. He should have been there 2 days after. Puerto Rico needs our help.... Now!!!,1,1,,A,Ng,
58909,134,12-Sep-17,@FOX13News tried calling the Pasco county number your airing recording informs us they are closed call back during normal business hours ???,,1,,A,Ng,
48557,144,06-Sep-17,"Rich people don't flood baseball stadiums, it's middle income if you have it in abundance. This area doesn't have that, lacks corp support.",1,1,,A,Ng,
39379,7,09-Sep-17,@wsvn crazy sparks in North Miami Beach pic.twitter.com/XzoeLVsPpG,1,1,,AS,Nt,
53131,38,08-Sep-17,Wow. RT @wsvn : #BREAKING : First storm related death has occurred in #Davie . A man putting up shutters fell off his ladder and has died.,,1,,AS,Ng ,
9336,42,10-Sep-17,Weird to think almost all of our viewers can't see us and are listening on the radio bc of power outages. Trying to be descriptive. @wsvn,1,1,,AS,Nt,
53131,113,08-Sep-17,Wow. RT @wsvn : #BREAKING : First storm related death has occurred in #Davie . A man putting up shutters fell off his ladder and has died.,,1,,AS,Ng,
53567,260,10-Sep-17,It's like rivers running through canyons!,1,1,,AS,Ng,
37206,271,05-Sep-17,Water came and water went at Walmart on Belvedere #thisisinsane #HurricaneIrma @WPTV pic.twitter.com/k9DFKTrntj,,1,,AS,Ng,
27531,77,04-Sep-17,Wow. That's my Publix...should I worry? I guess Ill just resort to filling tupperware and making ice blocks,,1,,AS/WF,Ng,
27357,158,09-Sep-17,Wow that's nuts!! Winds are to high & waters to ruff!! Omg!! Scary!!,1,1,,AS/WF,Ng,
10142,27,09-Sep-17,@WPLGLocal10 why are you giving airtime to folks who didn't evacuate. Bad example of high risk decision,1,1,,D,Ng,
51892,34,10-Sep-17,So let's address the root issue that most shelters don't take pets and hotels almost always turn them down.,1,1,,D,Ng,
37362,80,14-Sep-17,FPL moving too slowly for these guys,1,1,,D,Ng,
31798,83,17-Sep-17,When you know @insideFPL is hard at work and are patiently waiting for your transmitter to be repaired and for life to resume. @WPLGLocal10 pic.twitter.com/t9H0azMKF0,1,1,,D,Ng,1
10142,84,09-Sep-17,@WPLGLocal10 why are you giving airtime to folks who didn't evacuate. Bad example of high risk decision,1,1,,D,Ng,
48722,105,18-Sep-17,Maybe FPL will get my full power back on just in time for the storm to hit. Probably not.,1,1,,D,Ng,1
19570,112,06-Sep-17,"Gas stations near us show red on map, others don't answer phone, ones who did didn't have gas. Wish someone would report on gas status.",,1,,D,Ng,
41648,118,12-Sep-17,More buses to get people out who didn't have means would help. More personal responsibility would've helped more.,1,1,,D,Ng,
67538,119,05-Sep-17,"Over 26,000 people without power in Lake Worth right now. Yet there's not even a breeze outside. @WPTV",,1,,D,Ng,
48362,154,10-Sep-17,I see some people didn't evacuate!,,1,,D,Ng,
34228,161,10-Sep-17,you won't get the eye. What kind of journalists are you?,,1,,D,Ng,
29556,181,07-Sep-17,many stations in Sunrise have not had gas since Monday? Resupply is terrible why? @RickScottWatch @WSVN @FoxNews,1,1,,D,Ng,
21797,188,10-Sep-17,"Perhaps they listened to @rushlimbaugh say this whole #Irma this is a liberal hoax"". Oh",1,1,,D,Ng,
52072,205,10-Sep-17,I hope 6.2 works. There are many other channels and radio stations covering the storm. We want football.,1,1,,D,Ng,
27448,272,13-Sep-17,I agree . FPL must tell us why they didn't help before these poor ppl died. No bueno,,1,,D,Ng,
42963,273,13-Sep-17,Most disappointed in the way the news stations handled the #HollywoodHospital deaths in #FL . #IrmaRecovery @cnn @WPLGLocal10 RespectOurSrs,1,1,,D,Ng,
57798,275,10-Sep-17,"And, of course they are looting thugs.",1,1,,D,Ng,1
52513,430,10-Sep-17,Ppl were actually going outdoors despite warnings. We don't need lots of ppl .One or 2 injuries are totally unnecessary,1,,,D,Ng,
59536,189,08-Sep-17,@chez2success can AQI interpreting help @MCGPublicSafety @mysuncoast with REAL interpreters? #HurricaneIrma #deafaccess #fakeinterpreter,1,1,,I,Ng,
7416,265,10-Sep-17,Theft is a crime sure. But nobody got hurt and the store is insured. The lack of planning by emergency authorities will actually kill people,1,1,,D,Ng,
3339,9,11-Sep-17,". @wsvn @7NewsTIF Abandoning an endangered orca to the mercy of #Irma is negligent, abusive & cruel - PLS REPORT! https:// twitter.com/oceanCRIES/sta tus/906897981428953092 �??",1,1,,A,Ng,
66876,13,06-Sep-17,The airlines shouldn't be allowed to gouge prices when it's a state of emergency. Greedy. #irma #shameonyou,1,1,Disgust,A,Ng,
40989,6,20-Sep-17,We r safe!!!,,1,,HJ,Ps,
30793,29,08-Sep-17,Glad you got out. Stay safe!,,1,,HP,Ps,
10206,40,11-Sep-17,"There were no dogs or cats stranded in Orlando, I just drove around..I'm happy but also very upset I couldn't take any home",,1,,HJ,Ps,
15314,61,11-Sep-17,Glad you and the family are safe @Jason_Jose,1,1,,HJ,Ps,
31148,85,09-Sep-17,Outstanding coverage today. Former SoFla resident streaming live in Colorado experiencing Irma vicariously. @WPLGLocal10,1,1,,HJ,Ps,
30793,90,08-Sep-17,Glad you got out. Stay safe!,,1,,HP,Ps,
10245,150,07-Sep-17,It's amazing to see members of #Alachua county helping out in all kinds of ways! https://www. wuft.org/news/2017/09/0 7/commissioner-to-welcome-homeless-guests-during-hurricane-irma/ �?? #HurricaneIrma #wuftnews @WUFTNews,,1,,HJ,Ps,
20445,151,08-Sep-17,Thanks @jeremiahstruck for the pre Hurricane Italian ice @news6wkmg #hurricaneirma pic.twitter.com/4cVavANtc4,,1,,HJ,Ps,
47343,155,09-Sep-17,Never watch @WPLGLocal10 but @LJLiveTV I just caught your report re Irma. I'm now a fan. You were informative and low key funny. Great job,,1,,HJ,Ps,
35646,165,08-Sep-17,"oh hey @CarlosWPLG , always a pleasure to see ya on @WPLGLocal10 ! pic.twitter.com/MWdZDNqaZi",,1,,HJ,Ps,
26383,248,18-Sep-17,It's a brand new week Cheers to getting back to normal Join us for #Brightside on @10NewsWTSP #morning #coffee pic.twitter.com/IqTGC7clfI,,1,,HJ,Ps,
63677,269,13-Sep-17,Much-needed fuel headed to Florida ports after Hurricane Irma http:// bit.ly/2xkLWJR @StephanieWPTV pic.twitter.com/meAwWnbUH7,,1,,HJ,Ps,
38902,18,12-Sep-17,Be safe Jane.,,1,,HP,Ps,
56708,25,09-Sep-17,Stay safe everyone,,1,,HP,Ps,
41125,26,28-Sep-17,Stay brave everyone. Friday is almost here. #pets #weekend #fun @WKRG @FOX10News @975wabd pic.twitter.com/VAnFqoQ8WY,,1,,HP,Ps,
2349,30,10-Sep-17,Thinking of u all and my prayers are with u keep safe,,1,,HP,Ps,
2349,32,10-Sep-17,Thinking of u all and my prayers are with u keep safe,,1,,HP,Ps,
30758,39,15-Sep-17,"Leaving the #FloridaKeys , hit hard by #HurricaneIrma . But the beauty is still there, and I can�??t wait to see it make a comeback. @wsvn pic.twitter.com/wi2WpjRb16",,1,,HP,Ps,
10212,44,09-Sep-17,please stay safe babe <3,,1,,HP,Ps,
34996,46,07-Sep-17,be safe,,1,,HP,Ps,
19899,55,14-Sep-17,#OMG This could be a good sign! I just spotted power crews outside my house! #pleasepleaseplease @CBS12 pic.twitter.com/5hIxKGp24U,1,1,,HP,Ps,
26234,56,09-Sep-17,Keeping up the spirit at our Hernando school shelters! @BN9 @mareevs @WFLA @10NewsWTSP pic.twitter.com/aoxNQgDJjZ,,1,,HP,Ps,
33153,65,09-Sep-17,Be safe and best of luck,,1,,HP,Ps,
18845,66,10-Sep-17,Stay safe! God bless you all!,,1,,HP,Ps,
49543,67,10-Sep-17,"Good morning @timallanwalker Watching @WPTV right now My prayers are with all of you, be safe. Watching from New Hampshire.",,1,,HP,Ps,
67760,69,07-Sep-17,Thx. I'm seeing pics of total destruction from my fam...some still unaccounted for. Hopefully some media coverage soon.,,1,,HP,Ng,
34930,70,06-Sep-17,God bless New Jersey & have mercy on Fla. Irma!!,,1,,HP,Ps,
20832,79,06-Sep-17,Be safe #Florida,,1,,HP,Ps,
65272,82,10-Sep-17,"Yeah, it does matter when the wind is blowing too hard to flap their wings or control flight. I hope they got someplace safe before that.",1,1,,HP,Ps,
2349,92,10-Sep-17,Thinking of u all and my prayers are with u keep safe,,1,,HP,Ps,
47251,103,12-Sep-17,Sent to me a short while ago from @insideFPL Hope #florida gets power back. The crews are working hard. #Irma @WPTV pic.twitter.com/cNJ84VN5CW,1,1,,HP,Ps,
49812,131,30-Sep-17,Wishing you the best in whatever comes next @KirkGimenez,,1,,HP,Ps,
33286,152,09-Sep-17,@comcast @wsvn welp internet went out here. Hopefully the power doesn't go next,,1,,HP,Ps,
48198,164,10-Sep-17,"Stay safe, Danny!",,1,,HP,Ps,
23916,168,14-Sep-17,Many many prayers to all,,1,,HP,Ps,
39385,172,10-Sep-17,Allah protect you all!!,,1,,HP,Ps,
46546,175,09-Sep-17,Hope you're all doing ok,,1,,Hp,Ps,
5549,176,09-Sep-17,you guys will be ok.,,1,,Hp,Ps,
27552,177,06-Sep-17,@wsvn hope y'all 100% ready,,1,,Hp,Ps,
14236,184,09-Sep-17,I hope that's the case & Irma weakens considerably once the eyewall makes landfall,,1,,HP,Ps,
34202,190,06-Sep-17,We sincerely hope everyone is safe. May KTLA 5 have permission to use this video for our television and online publications?,,1,,HP,Ps,
157,197,09-Sep-17,It�??s the calm before the storm. It was a beautiful day here in Houston before Harvey hit. Texas is praying for Florida!,,1,,Hp,Ps,
5214,204,06-Sep-17,Hope the horses and you are ok.,,1,,HP,Ps,
30659,211,10-Sep-17,Im sending thoughts and prayers to everyone there.,,1,,HP,Ps,
28886,230,06-Sep-17,Be safe all!,,1,,HP,Ps,
32858,233,08-Sep-17,Stay safe out there!!!,,1,,HP,Ps,
15605,255,09-Sep-17,Thank you - hope you're finding us helpful as you (and we) try to get through this !,,1,,HP,Ps,
45562,266,09-Sep-17,I think WPB in good shape. Got a real good feeling.,1,1,,HP,Ps,
26690,62,11-Sep-17,@10NewsWTSP thank you for your excellent coverage tonight of #HurrcaneIrma Glad to hear the worst might be past us in Tampa.,1,1,,HP/T,Ps,
37517,68,27-Sep-17,Hope they'll bring him home safe and sound. Got bless.,1,1,,HP,Ps,
33168,221,10-Sep-17,Do their lives matter?Looters should be shot on sight.,1,1,,DG,Ng,
3068,3,09-Sep-17,"We dodged the worst, Again. We are so Lucky",1,1,,S,Ps,1
54516,43,11-Sep-17,So sad to see one of the huge trees at @EdisonFordFL uprooted and toppled over @cityftmyers @WPTV #hurricaneirma pic.twitter.com/m90QDlPt2Y,,1,,S,Ng,
46729,108,10-Sep-17,"It's so sad, we don't have school till next Monday the earliest! Say a prayer boo",1,1,,S,Ng,
51142,109,22-Sep-17,Very tragic RT @WPLGLocal10 : 11th Rehabilitation Center at Hollywood Hills resident dies http:// bit.ly/2xAEnP9?utm_me dium=social&utm_source=twitter_WPLGLocal10 �?? pic.twitter.com/EfYeGelDZA,1,1,,S,Ng,
17255,185,10-Sep-17,"I'm 27 and I never watched the news in my life but the past two days I've been watching you 24hors ,my sister and brother are in Miami :(",,1,,S,Ng,
56382,216,19-Sep-17,So sad. It is amazing how the effects still keep effecting so many long after the storm.,1,1,,S,Ng,
35937,262,10-Sep-17,@DaveGrutman Komodo is under water I'm so sad for my city,,1,,S,Ng,
49848,264,14-Sep-17,So sad to see responders put in that position. What happened to liquid oxygen tanks that don't need electric? Glad you picked up the ball!,,1,,S,Ng,
50005,253,08-Sep-17,This is heartbreaking. Our pets are our family members. These people never should have had pets,1,1,,S/A,Ng,
28466,33,13-Sep-17,Damn....sorry for ppl losing their homes,,1,,SP,Ng,
14614,53,10-Sep-17,"Wow i love miami, they gonna habe a lot of clean up to do",1,1,,SP,Ng,
27524,75,10-Sep-17,:( hope they're ok,,1,,SP,Ng,
28466,93,13-Sep-17,Damn....sorry for ppl losing their homes,,1,,SP,Ng,
40673,111,10-Sep-17,These poor animals - suffering. God watch over them.,,1,,SP,Ng,
58995,135,12-Sep-17,What they don't give you giys a day off? Hope they gave you hazard pay. Much love from a fan. Ok to cry stress tears.,,1,,SP,Ng,
26789,156,10-Sep-17,Sorry to see this but hopefully all lives safe.,,1,,SP,Ng,
4999,249,09-Sep-17,Same thing to us in the past...they fail to deliver but won't allow pick up. Sorry to hear they did this to you ahead of this horrible storm,,1,,SP,Ng,
9012,8,10-Sep-17,These are someone's pets. How could they just leave them behind? I hope someone is able to help them.,1,1,,SP/A,Ng,
33545,94,05-Sep-17,Ohh myyy goodness. Prayers.Sent.,,1,,SP/HP,Ps,
45974,15,11-Sep-17,Their poor little sad faces. I hope they made it through and are safe.,1,1,,SP/WF,Ng,
26709,223,09-Sep-17,Oh poor babies. That's not a great place for shelter.,1,1,,SP/W,Ng,
34735,1,07-Sep-17,". @CBS12 , @WPTV , @wpbf , @pbpost , @SunSentinel : stay safe during storm coverage! You're all pros and made for this stuff. Thank you! #irma",1,1,,T,Ps,
15541,4,06-Sep-17,Thank you !!!! Please remember to cover Martin County! I live here in Hobe Sound. Martin and Palm Beach line.,,1,,T,Ps,
37525,17,10-Sep-17,"keep popping in to watch your live-feed. Doing Great Job (Hope your roof stays on) & Thanks,",1,1,,T,Ps,
49723,28,01-Sep-17,Houston Strong due to help from all across America. Thanks Tampa for jumping in. #TampaProud,"
",1,,T,Ps,
40964,41,10-Sep-17,Thank You!!! @10NewsWTSP for providing us with the coverage we need so we know what's going on!! Great Job!,1,1,,T,Ps,
24574,45,30-Sep-17,Thank you for all you're doing to help these unfortunate people,,1,,T,Ps,
46314,50,15-Sep-17,Our @EWScrippsCo stations still on the case for #Florida in the wake of #irma - thanks @WPTV team! https:// twitter.com/wptv/status/90 8640627818209280 �??,,1,,T,Ps,
49238,59,11-Sep-17,"@WPLGLocal10 Great Aerial #coverage of after #Storm , #KeyLargo #Miami (Need #BrowardCounty to #FLL -headed north via AERIAL) Thank you.",1,1,,T,Ps,
24869,72,07-Sep-17,Thank you! Interesting times on both coasts! Stay safe as well.,1,1,,T,Ps,
6762,78,10-Sep-17,I'm so proud of the coverage the @EWScrippsCo FL stations are providing for communities we serve. Stay safe! @WPTV @abcactionnews @Fox4Now,1,1,,T,Ps,
29137,81,10-Sep-17,Thank you @PhilFerro7 for providing us amazing service. You guys are the best in the business. We all appreciate you @wsvn #HurricaneIrma,1,1,,T,Ps,
37958,86,28-Sep-17,Here we go with more professional Journalist @CarlosWPLG #great Anchor. Keep up the good work @CarlosWPLG #be safe with your loved ones.,1,1,,T,Ps,
48875,87,03-Sep-17,"You all are amazing! We've got your story LIVE from Katy, TX at 11 on @wsvn https:// twitter.com/cschargers_/st atus/904528646270046210 �??",1,1,,T,Ps,
49723,89,01-Sep-17,Houston Strong due to help from all across America. Thanks Tampa for jumping in. #TampaProud,1,1,,T,Ps,
33827,139,10-Sep-17,"@WPTV You are doing an amazing job! Thank you for keeping it real"" without the hype. Tuned in to WPTV",1,1,,T,Ps,
28395,145,19-Sep-17,Thanks for great coverage on aftermath of storm. #Boss,,1,,T,Ps,
39541,153,10-Sep-17,Thank you for everything you and your team are doing for Tampa Bay.,,1,,T,Ps,
54306,157,05-Sep-17,Thanks for the info you are sweet and nice to give us the info,1,1,,T,Ps,
